EC portal,Title/Identifier (if no DOI available),Description of the dataset/Abstract,Database Key words,Producer,Full name of corresponding author (with email contact),Year,Accessible y/n,Give the DOI (or URL) to access the dataset in the data repository,"Is this dataset reusable?
Yes/No","If the dataset is linked to a publication, specify the DOI of the publication",Licence,Code available (link),Link (html) to an image/logo/figure representing the database,geographical extent,No,Usefull for which diseases ,Concept ID (NCBI) ,Dataset or Software,Dataset type,Dashboard,Data produced by MOOD (Prod.) or only used (Used) within the project,Accessibility (Public or MPo -MOOD partners only),uuid,n
NO,EPIcx-lab/COVID-19/mobility_effect,"Data for the article ""Evaluating the effect of demographic factors, socioeconomic factors, and risk aversion on mobility during the COVID-19 epidemic in France under lockdown: a population-based study"", G. Pullano, E. Valdano et al., The Lancet Digital Health 2020 Regional hospitalisation data and COVID-19-related deaths from Santé Publique France. Geodes-Indicateurs: cartes, données et graphiques.
https://geodes.santepubliquefrance.fr/#c=indicator&f=0&i=covid_hospit.hosp&s=2020-04-09&t=a01&view=map1

Census data from the French National Statistical Institute (INSEE)
https://www.insee.fr

Employment data and regional socio-economic indicators from French National Statistical Institute (INSEE)
https://www.insee.fr

Employment data from Direction de l'Animation de la Recherche
Activité et conditions d'emploi de la main-d'œuvre pendant la crise sanitaire Covid-19
https://dares.travail-emploi.gouv.fr/IMG/pdf/dares_acemo_covid19_synthese_17-04-2020.pdf
",,INSERM,,2020,yes,,YES,https://doi.org/10.1016/S2589-7500(20)30243-0,,,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120078,78
NO,EPIcx-lab/COVID-19/socio_economic,"Data for the article: ""Highlighting socio-economic constraints on mobility reductions during COVID-19 restrictions in France can inform effective and equitable pandemic response"", E. Valdano et a., Journal of Travel Medicine 2021, Retail stores per 100,000 residents from the French National Statistical Institute (INSEE)
https://www.insee.fr/fr/statistiques/3568602?sommaire=3568656#consulter
",,INSERM,,2021,yes,,YES,https://doi.org/10.1093/jtm/taab045,,,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120079,79
NO,EPIcx-lab/COVID-19/Underdetection_France/,"Data and code for: Pullano, G., Di Domenico, L., Sabbatini, C.E. et al. 
Underdetection of COVID-19 cases in France threatens epidemic control. 
Nature (2020). https://doi.org/10.1038/s41586-020-03095-6",,INSERM,,2021,Github,https://github.com/EPIcx-lab/COVID-19/tree/master/Underdetection_France,YES,https://doi.org/10.1038/s41586-020-03095-6,CC BY 4.0 ,https://github.com/EPIcx-lab/COVID-19/tree/master/Underdetection_France,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,COVID-19,C5203670,Dataset,Disease data,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120080,80
YES,Supplementary Video 1 from Impact of contact data resolution on the evaluation of interventions in mathematical models of infectious diseases,"Sketch of one simulation of a spread in the office data set, for R0=3 and the symptomatic testing protocol, for the dynamical network (left panels), heterogeneous network (middle panels) and contact matrix of distributions (right panel) representations. The nodes representing individuals are arranged according to their department and colored according to their disease compartment. The time is discretized in timesteps of 15 minutes, with contacts changing at every time step for the dynamical network representation, and from day to day in the contact matrix of distributions representation. Links are highlighted in red when a contagion event occurs. No contacts occur outside of office hours. The bottom panels show the evolution over time of the nodes in each compartment (putting together the prodromic, subclinical and clinical compartments for simplicity).",,INSERM,,2022,Figshare,http://dx.doi.org/10.6084/m9.figshare.20043288,NO,http://dx.doi.org/https://doi.org/10.1098/rsif.2022.0164,cc4.0,,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120120,120
YES,Supplementary Video 2 from Impact of contact data resolution on the evaluation of interventions in mathematical models of infectious diseases,"Sketch of one simulation of a spread in the office data set, for R0=3 and the weekly testing protocol with adherence 75%, for the dynamical network (left panels), heterogeneous network (middle panels) and contact matrix of distributions (right panel) representations. The nodes representing individuals are arranged according to their department and colored according to their disease compartment. The time is discretized in timesteps of 15 minutes, with contacts changing at every time step for the dynamical network representation, and from day to day in the contact matrix of distributions representation. Links are highlighted in red when a contagion event occurs. No contacts occur outside of office hours. The bottom panels show the evolution over time of the nodes in each compartment (putting together the prodromic, subclinical and clinical compartments for simplicity).",,INSERM,,2022,Figshare,http://dx.doi.org/10.6084/m9.figshare.20043291.v1,NO,http://dx.doi.org/https://doi.org/10.1098/rsif.2022.0165,cc4.0,,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120121,121
NO,"Dataset of the diseases' covariates extracted from the literature: Leptospirosis, Influenza A and Chikungunya dataset","
The dataset contains quantitative data on the human, animal, vector and environmental
 covariates associated with influenza A, Chikungunya, and Leptospirosis 
retrieved from scientific papers through a standardized search on 
PubMed, Embase, Web of Science, and Scopus. Inclusion criteria were data
 on the association between disease and covariates, language (English or
 other EU languages), time frame (30 years), geographical location (Europe), and publication type. Studies without data or with non-original or duplicated data (reviews, editorials, letters, modelling studies with no data), lacking denominators or reference populations, unavailable full-texts, referring to data older than 2000 or gathered outside Europe, were excluded. The final time frame covered a period from 2000 to 2022. 


The important human, animal, vector and environmental
 covariates were extracted with the associated quantitative information,
 and the related information on the diseases. The covariates were submitted to a revision process and labelled according to a labelling system agreed upon among a group of experts within the MOOD (grant agreement No 874850; https://mood-h2020.eu/) project consortium. ","Scoping review, disease covariates","ISS, FEM",Claudia Cataldo,2024,yes,"
https://doi.org/10.5281/zenodo.11241409",YES,,,,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/scoping-review-ql.png,,,"Leptospirosis, Influenza A, Chikungunya",,Dataset,Disease data,,,MPo,c4702d92-80b3-11ee-b962-0242ac120143,143
NO,Dataset of the diseases' covariates extracted from the literature: Tularemia dataset,"
The dataset contains quantitative data on the human, animal, vector and environmental covariates associated with Tularemia
 retrieved from scientific papers through a standardized search on 
PubMed, Embase, Web of Science, and Scopus. Inclusion criteria were data
 on the association between disease and covariates, language (English or
 other EU languages), time frame (30 years), 
geographical location (Europe), and publication type. Studies without 
data or with non-original or duplicated data (reviews, editorials, 
letters, modelling studies with no data), lacking denominators or reference populations, unavailable full-texts, referring to data older than 2000 or gathered outside Europe, were excluded. The final time frame covered a period from 2000 to 2022. 


The important human, animal, vector and environmental covariates were extracted with the associated quantitative information, and the related information on the diseases. The covariates were submitted to a revision process and labelled according to a labelling system agreed upon among a group of experts within the MOOD (grant agreement No 874850; https://mood-h2020.eu/) project consortium. ","Scoping review, disease covariates","ISS, FEM",Claudia Cataldo,2024,yes,https://doi.org/10.5281/zenodo.11241750,YES,,,,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/scoping-review-ql.png,,,Tularaemia,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac12094,94
NO,Avian Influenza events affecting mammals from ProMED,"This dataset contains a set of Avian Influenza events affecting mammal species from 2020 to the present day. These are preprocessed and normalized events, which are extracted from ProMED as Epidemiological Surveillance Systems (EBS).",,LIRMM,,2023,,http://advanse.lirmm.fr/avianflu/,YES,,CC0,,http://advanse.lirmm.fr/avianflu/Logo-LIRMM-long_329x113.png,,,,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120046,46
NO,Copernicus Digital Elevation Model (DEM),"Copernicus Digital Elevation Model (DEM) for Europe derived from Copernicus Global 30 meter DEM dataset, (2020 release): 30 m resolution, WGS 84 (EPSG:4326) (original resolution and projection). 

Abstract: The Copernicus DEM is a Digital Surface Model (DSM) which represents the surface of the Earth including buildings, infrastructure and vegetation. The original GLO-30 provides worldwide coverage at 30 meters (refers to 10 arc seconds). Note that ocean areas do not have tiles, there one can assume height values equal to zero. Data is provided as Cloud Optimized GeoTIFFs. Note that the vertical unit for measurement of elevation height is meters.

The data are provided in original resolution and projection.","digital terrain model, elevation, radar, radar remote sensing, space, remote sensing, Copernicus DEM, environment, DSM, DEM, geomorphometry, Europe, MOOD-H2020",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de)",2022,Data upon request,https://data.mundialis.de/geonetwork/srv/eng/catalog.search#/metadata/f576cda8-d598-478c-b8fe-ad2634c927e8,YES,,CC-BY-SA 4.0,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120052,52
NO,Copernicus Digital Elevation Model (DEM),"Copernicus Digital Elevation Model (DEM) for Europe derived from Copernicus Global 30 meter DEM dataset, (2020 release): 30 m resolution, reprojected to EU LAEA (original resolution). 

Abstract: The Copernicus DEM is a Digital Surface Model (DSM) which represents the surface of the Earth including buildings, infrastructure and vegetation. The original GLO-30 provides worldwide coverage at 30 meters (refers to 10 arc seconds). Note that ocean areas do not have tiles, there one can assume height values equal to zero. Data is provided as Cloud Optimized GeoTIFFs. Note that the vertical unit for measurement of elevation height is meters.

The data are provided in original resolution and reprojected to EU LAEA.","digital terrain model, elevation, radar, radar remote sensing, space, remote sensing, Copernicus DEM, environment, DSM, DEM, geomorphometry, Europe, MOOD-H2020",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de)",2022,Data upon request,https://data.mundialis.de/geonetwork/srv/eng/catalog.search#/metadata/9a382836-47a9-4dac-ad62-f0021e455ab8,YES,,CC-BY-SA 4.0,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120053,53
YES,Copernicus Digital Elevation Model (DEM),"Copernicus Digital Elevation Model (DEM) for Europe derived from Copernicus Global 30 meter DEM dataset, (2020 release): resampled to 3 arc seconds (ca. 90 meter) resolution, WGS 84 (EPSG:4326). 

Abstract: The Copernicus DEM is a Digital Surface Model (DSM) which represents the surface of the Earth including buildings, infrastructure and vegetation. The original GLO-30 provides worldwide coverage at 30 meters (refers to 10 arc seconds). Note that ocean areas do not have tiles, there one can assume height values equal to zero. Data is provided as Cloud Optimized GeoTIFFs. Note that the vertical unit for measurement of elevation height is meters.

The Copernicus DEM for Europe at 3 arcsec (0:00:03 = 0.00083333333 ~ 90 meter) in COG format has been derived from the Copernicus DEM GLO-30, mirrored on Open Data on AWS, dataset managed by Sinergise (https://registry.opendata.aws/copernicus-dem/).","digital terrain model, elevation, radar, radar remote sensing, space, remote sensing, Copernicus DEM, environment, DSM, DEM, geomorphometry, Europe, MOOD-H2020 ",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de)",2022,Zenodo,https://doi.org/10.5281/zenodo.6211701,YES,,CC-BY-SA 4.0,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120054,54
YES,Copernicus Digital Elevation Model (DEM),"Copernicus Digital Elevation Model (DEM) for Europe derived from Copernicus Global 30 meter DEM dataset, (2020 release): resampled to 100 m, reprojected to EU LAEA. 

Abstract:The Copernicus DEM is a Digital Surface Model (DSM) which represents the surface of the Earth including buildings, infrastructure and vegetation. The original GLO-30 provides worldwide coverage at 30 meters (refers to 10 arc seconds). Note that ocean areas do not have tiles, there one can assume height values equal to zero. Data is provided as Cloud Optimized GeoTIFFs. Note that the vertical unit for measurement of elevation height is meters.

The Copernicus DEM for Europe at 100 meter resolution (EU-LAEA projection) in COG format has been derived from the Copernicus DEM GLO-30, mirrored on Open Data on AWS, dataset managed by Sinergise (https://registry.opendata.aws/copernicus-dem/). ","digital terrain model, elevation, radar, radar remote sensing, space, remote sensing, Copernicus DEM, environment, DSM, DEM, geomorphometry, Europe, MOOD-H2020 ",mundialis,"Metz Markus (metz@mundialis.de),
Haas Julia (haas@mundialis.de),
Neteler Markus (neteler@mundialis.de)",2022,Zenodo,https://doi.org/10.5281/zenodo.6211990,YES,,CC-BY-SA 4.0,,,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120055,55
